SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SiteAddress
直潭堰取水口,Chintan Weir Intake,新北市,新店區,淡水河流域,新店溪,121.5331350,24.9254100,303847.62,2757621.47,新北市新店區直潭路127號
知本溫泉橋,Jhihben hotspring Bridge,台東縣,太麻里鄉,知本溪流域,知本溪,121.0218300,22.6944600,252242.84,2510450.59,台東縣太麻里鄉東58線(2.5公里處)
知本橋,Jhihben Bridge,台東縣,太麻里鄉,知本溪流域,知本溪,121.0396000,22.7013960,254068.38,2511219.06,台東縣太麻里鄉台9線公路(391.5公里處)
社子橋,Shezih Bridge,桃園縣,新屋鄉,社子溪流域,社子溪,121.0940470,24.9608470,259496.12,2761444.27,桃園縣新屋鄉東明村中興路中華南路24巷交會口附近
花蓮大橋,Hualienda Bridge,花蓮縣,吉安鄉,花蓮溪流域,花蓮溪,121.5976990,23.9235460,310847.51,2646684.81,花蓮縣吉安鄉11號公路
迎賓橋,Inbin Bridge,台中市,和平區,大甲溪流域,大甲溪,121.3081520,24.3477730,281267.14,2693573.52,台中市和平區平等里武陵路武陵賓館前
金洋二號橋(原為金洋),Ginyang No 2,宜蘭縣,南澳鄉,南澳溪流域,南澳溪,121.7584420,24.4359470,326904.52,2703515.03,宜蘭縣南澳鄉金洋村金洋產業道路
阿公店出水口,Agongdian Reservoir Intake,高雄市,燕巢區,阿公店溪流域,阿公店溪,120.3453290,22.8115060,182794.34,2523559.75,高雄市燕巢區西燕里工程路100號
阿公店橋,Agongdian Bridge,高雄市,岡山區,阿公店溪流域,阿公店溪,120.2971030,22.7853050,177829.69,2520681.14,高雄市岡山區岡山路(台1線與縣186交界)
青葉橋,Chinyie Bridge,台南市,白河區,急水溪流域,急水溪,120.4071880,23.3386940,189381.42,2581912.81,台南市白河區縣165線公路(15公里處)
青潭堰,Chintan Weir,新北市,新店區,淡水河流域,新店溪,121.5452140,24.9414410,305060.50,2759402.00,新北市新店區新烏路
侯硐車站,Hodon Station,新北市,瑞芳區,淡水河流域,基隆河,121.8286700,25.0881540,333588.14,2775798.10,新北市瑞芳區侯硐車站(北37線)
前州橋,Cianchou Bridge,高雄市,岡山區,阿公店溪流域,阿公店溪,120.2798710,22.8029380,176069.76,2522642.28,高雄市岡山區本洲路(186縣道)
南崁溪橋,Nankan River Bridge,桃園縣,蘆竹鄉,南崁溪流域,南崁溪,121.2809570,25.0557330,278347.08,2771980.12,桃園縣蘆竹鄉4號公路
